across,excuse,0,0,7
down,taken,0,0,7
down,fedora,0,2,7
down,malt,0,4,5
down,appoint,0,6,9
across,heighten,0,8,7
down,host,0,8,5
down,deterrent,0,10,9
down,bulk,0,14,7
across,dexterity,2,0,7
across,affirm,2,8,7
across,measly,4,0,9
across,carousal,4,10,5
across,eats,6,0,5
down,mint,6,4,9
across,thorough,6,6,9
down,values,6,8,9
across,shoe,8,0,9
down,reap,8,0,7
down,rotate,8,2,7
across,rests,8,10,5
down,insensible,8,12,7
down,pastry,8,14,7
across,drifter,10,0,5
across,spectator,10,6,9
down,founded,10,6,5
down,ciao,10,10,5
across,perched,12,8,7
across,hardened,14,0,7
across,outrage,14,8,7
